Antecesor,Fertilizante,Fsecado,Rendimiento,Bloque,MSVicia,AUMaiz,PPEstival,Temporada,FSVicia,AUVicia,PPInvernal
0,150,1,2970.385965,2,3720,55.24,316.35,2021,128,89.94,79
0,150,2,3003.859649,2,3120,35.84,311.10,2021,128,89.94,79
0,150,3,4071.365302,2,2520,75.56,236.35,2021,128,89.94,79
0,150,1,3123.667836,3,3560,55.24,316.35,2021,128,89.94,79
0,150,2,1866.222222,3,2720,35.84,311.10,2021,128,89.94,79
0,150,3,3686.938012,3,2320,75.56,236.35,2021,128,89.94,79
1,0,1,3127.4,1,6480,75.93,374.25,1920,133,135.58,133
1,0,2,4021.7,1,5027,100.48,359.75,1920,133,135.58,133
1,0,3,704.8,1,5753,73.35,327.75,1920,133,135.58,133
1,0,1,8250.7,2,6480,75.93,374.25,1920,133,135.58,133
1,0,2,5815.5,2,5027,100.48,359.75,1920,133,135.58,133
1,0,3,3962.9,2,5753,73.35,327.75,1920,133,135.58,133
1,0,1,6347,3,6480,75.93,374.25,1920,133,135.58,133
1,0,2,5819.3,3,5027,100.48,359.75,1920,133,135.58,133
1,0,3,7889.3,3,5753,73.35,327.75,1920,133,135.58,133
1,150,1,6040.5,1,6480,75.93,374.25,1920,133,135.58,133
1,150,2,4874.2,1,5027,100.48,359.75,1920,133,135.58,133
1,150,3,5007.7,1,5753,73.35,327.75,1920,133,135.58,133
1,150,1,6914.4,2,6480,75.93,374.25,1920,133,135.58,133
1,150,2,6279.6,2,5027,100.48,359.75,1920,133,135.58,133
1,150,3,5854.4,2,5753,73.35,327.75,1920,133,135.58,133
1,150,1,8114.5,3,6480,75.93,374.25,1920,133,135.58,133
1,150,2,5442.9,3,5027,100.48,359.75,1920,133,135.58,133
1,150,3,5358,3,5753,73.35,327.75,1920,133,135.58,133
0,0,1,9147.6,1,8093,43.09,374.25,1920,133,138.17,133
0,0,2,9904,1,8640,81.01,359.75,1920,133,138.17,133
0,0,3,9668.5,1,8367,91.14,327.75,1920,133,138.17,133
0,0,1,10195,2,8093,43.09,374.25,1920,133,138.17,133
0,0,2,10126.3,2,8640,81.01,359.75,1920,133,138.17,133
0,0,3,6392.1,2,8367,91.14,327.75,1920,133,138.17,133
0,0,1,8155.2,3,8093,43.09,374.25,1920,133,138.17,133
0,0,2,10066.9,3,8640,81.01,359.75,1920,133,138.17,133
0,0,3,6164.5,3,8367,91.14,327.75,1920,133,138.17,133
0,150,1,11056.6,1,8093,43.09,374.25,1920,133,138.17,133
0,150,2,10240.2,1,8640,81.01,359.75,1920,133,138.17,133
0,150,3,8722.3,1,8367,91.14,327.75,1920,133,138.17,133
0,150,1,11369.5,2,8093,43.09,374.25,1920,133,138.17,133
0,150,2,8786.5,2,8640,81.01,359.75,1920,133,138.17,133
0,150,3,7355.8,2,8367,91.14,327.75,1920,133,138.17,133
0,150,1,7789.9,3,8093,43.09,374.25,1920,133,138.17,133
0,150,2,7445,3,8640,81.01,359.75,1920,133,138.17,133
0,150,3,10559.9,3,8367,91.14,327.75,1920,133,138.17,133
1,0,1,1424.621053,1,3186.7,44.01,371.25,2122,146,121.07,104
1,0,2,1244.837427,1,4546.7,67.47,333,2122,146,121.07,104
1,0,3,1487.38538,1,4186.7,41.67,288.75,2122,146,121.07,104
1,0,1,2491.529825,2,5866.7,44.01,371.25,2122,146,121.07,104
1,0,2,1655.4,2,5373.3,67.47,333,2122,146,121.07,104
1,0,3,2209.801754,2,5453.3,41.67,288.75,2122,146,121.07,104
1,0,1,2245.838596,3,4493.3,44.01,371.25,2122,146,121.07,104
1,0,2,1954.992982,3,5146.7,67.47,333,2122,146,121.07,104
1,0,3,938.9555556,3,5920,41.67,288.75,2122,146,121.07,104
1,150,1,1740.965497,1,3186.7,44.01,371.25,2122,146,121.07,104
1,150,2,1296.783626,1,4546.7,67.47,333,2122,146,121.07,104
1,150,3,2132.112281,1,4186.7,41.67,288.75,2122,146,121.07,104
1,150,1,2438.777778,2,5866.7,44.01,371.25,2122,146,121.07,104
1,150,2,1365.688889,2,5373.3,67.47,333,2122,146,121.07,104
1,150,3,1150.484211,2,5453.3,41.67,288.75,2122,146,121.07,104
1,150,1,1959.672515,3,4493.3,44.01,371.25,2122,146,121.07,104
1,150,2,1399.193567,3,5146.7,67.47,333,2122,146,121.07,104
1,150,3,1378.992398,3,5920,41.67,288.75,2122,146,121.07,104
0,0,1,1982.01345,1,3933.3,42.08,371.25,2122,146,125.19,104
0,0,2,1238.3,1,4746.7,53.03,333,2122,146,125.19,104
0,0,3,948.2923977,1,4773.3,49.15,288.75,2122,146,125.19,104
0,0,1,2615.754386,2,5333.3,42.08,371.25,2122,146,125.19,104
0,0,2,939.9087719,2,4960,53.03,333,2122,146,125.19,104
0,0,3,1239.391813,2,5240,49.15,288.75,2122,146,125.19,104
0,0,1,2023.596491,3,4960,42.08,371.25,2122,146,125.19,104
0,0,2,1402.54386,3,5533.3,53.03,333,2122,146,125.19,104
0,0,3,1211.74269,3,6893.3,49.15,288.75,2122,146,125.19,104
0,150,1,1772.80117,1,3933.3,42.08,371.25,2122,146,125.19,104
0,150,2,1018.947368,1,4746.7,53.03,333,2122,146,125.19,104
0,150,3,867.5578947,1,4773.3,49.15,288.75,2122,146,125.19,104
0,150,1,2349.810526,2,5333.3,42.08,371.25,2122,146,125.19,104
0,150,2,1461.403509,2,4960,53.03,333,2122,146,125.19,104
0,150,3,1212.421053,2,5240,49.15,288.75,2122,146,125.19,104
0,150,1,1761.134503,3,4960,42.08,371.25,2122,146,125.19,104
0,150,2,1207.8,3,5533.3,53.03,333,2122,146,125.19,104
0,150,3,1218.273684,3,6893.3,49.15,288.75,2122,146,125.19,104
